Year,State,PotatoAcres
2021,CALIFORNIA,29000
2021,COLORADO,53000
2021,FLORIDA,22000
2021,IDAHO,315000
2021,MAINE,56000
2021,MICHIGAN,47000
2021,MINNESOTA,44000
2021,NEBRASKA,21000
2021,NORTH DAKOTA,73000
2021,OREGON,45000
2021,TEXAS,11000
2021,WASHINGTON,160000
2021,WISCONSIN,67000
2020,CALIFORNIA,29000
2020,COLORADO,54000
2020,FLORIDA,21000
2020,IDAHO,300000
2020,MAINE,51000
2020,MICHIGAN,46000
2020,MINNESOTA,42000
2020,NEBRASKA,19000
2020,NORTH DAKOTA,72000
2020,OREGON,45000
2020,TEXAS,15500
2020,WASHINGTON,155000
2020,WISCONSIN,69000
2019,CALIFORNIA,40500
2019,COLORADO,51300
2019,FLORIDA,26000
2019,IDAHO,310000
2019,MAINE,52000
2019,MICHIGAN,50000
2019,MINNESOTA,46000
2019,NEBRASKA,20500
2019,NORTH DAKOTA,73000
2019,OREGON,43000
2019,TEXAS,15000
2019,WASHINGTON,165000
2019,WISCONSIN,71000
2018,ALASKA,500
2018,CALIFORNIA,38500
2018,COLORADO,55300
2018,FLORIDA,22000
2018,IDAHO,315000
2018,ILLINOIS,7700
2018,KANSAS,3300
2018,MAINE,49000
2018,MARYLAND,2200
2018,MICHIGAN,50000
2018,MINNESOTA,44000
2018,MISSOURI,7800
2018,MONTANA,11100
2018,NEBRASKA,19500
2018,NEW JERSEY,2000
2018,NEW YORK,14300
2018,NORTH CAROLINA,13000
2018,NORTH DAKOTA,74500
2018,OREGON,45000
2018,OTHER STATES,0
2018,TEXAS,18000
2018,VIRGINIA,4800
2018,WASHINGTON,160000
2018,WISCONSIN,69000
2017,ALASKA,560
2017,CALIFORNIA,41700
2017,COLORADO,55900
2017,FLORIDA,29000
2017,IDAHO,310000
2017,ILLINOIS,8600
2017,KANSAS,4100
2017,MAINE,48000
2017,MARYLAND,2600
2017,MICHIGAN,50000
2017,MINNESOTA,46000
2017,MISSOURI,8800
2017,MONTANA,11100
2017,NEBRASKA,19000
2017,NEW JERSEY,2000
2017,NEW YORK,14500
2017,NORTH CAROLINA,16000
2017,NORTH DAKOTA,75000
2017,OREGON,46000
2017,OTHER STATES,0
2017,TEXAS,23300
2017,VIRGINIA,5000
2017,WASHINGTON,165000
2017,WISCONSIN,71000
2016,ALASKA,550
2016,CALIFORNIA,39400
2016,COLORADO,57300
2016,FLORIDA,25000
2016,IDAHO,325000
2016,ILLINOIS,7500
2016,KANSAS,4200
2016,MAINE,47000
2016,MARYLAND, (D)
2016,MICHIGAN,48000
2016,MINNESOTA,44000
2016,MISSOURI,8200
2016,MONTANA,11100
2016,NEBRASKA,16500
2016,NEW JERSEY, (D)
2016,NEW YORK,15000
2016,NORTH CAROLINA,14000
2016,NORTH DAKOTA,80000
2016,OREGON,45000
2016,OTHER STATES,4600
2016,TEXAS,21500
2016,VIRGINIA,4400
2016,WASHINGTON,170000
2016,WISCONSIN,69000
2015,ALASKA,560
2015,ARIZONA,3600
2015,CALIFORNIA,40900
2015,COLORADO,57700
2015,DELAWARE, (D)
2015,FLORIDA,30000
2015,IDAHO,323000
2015,ILLINOIS,8000
2015,KANSAS,3800
2015,MAINE,51000
2015,MARYLAND,2400
2015,MASSACHUSETTS,3600
2015,MICHIGAN,46000
2015,MINNESOTA,41000
2015,MISSOURI,8500
2015,MONTANA,11000
2015,NEBRASKA,15500
2015,NEVADA, (D)
2015,NEW JERSEY, (D)
2015,NEW MEXICO, (D)
2015,NEW YORK,15000
2015,NORTH CAROLINA,13500
2015,NORTH DAKOTA,82000
2015,OHIO,1300
2015,OREGON,44000
2015,OTHER STATES,11600
2015,PENNSYLVANIA,5400
2015,RHODE ISLAND,600
2015,TEXAS,21500
2015,VIRGINIA,5000
2015,WASHINGTON,170000
2015,WISCONSIN,67000
2014,ALASKA,650
2014,ARIZONA,3800
2014,CALIFORNIA,39800
2014,COLORADO,60200
2014,DELAWARE,1200
2014,FLORIDA,30500
2014,IDAHO,321000
2014,ILLINOIS,7000
2014,KANSAS,4200
2014,MAINE,51000
2014,MARYLAND,2300
2014,MASSACHUSETTS,3800
2014,MICHIGAN,43000
2014,MINNESOTA,42000
2014,MISSOURI,8200
2014,MONTANA,11500
2014,NEBRASKA,17000
2014,NEVADA, (D)
2014,NEW JERSEY,2200
2014,NEW MEXICO, (D)
2014,NEW YORK,16000
2014,NORTH CAROLINA,14500
2014,NORTH DAKOTA,79000
2014,OHIO,1600
2014,OREGON,43000
2014,OTHER STATES,9400
2014,PENNSYLVANIA,5300
2014,RHODE ISLAND,500
2014,TEXAS,23300
2014,VIRGINIA,5000
2014,WASHINGTON,165000
2014,WISCONSIN,65000
2013,ALASKA,650
2013,ARIZONA,3500
2013,CALIFORNIA,39800
2013,COLORADO,54800
2013,DELAWARE,1400
2013,FLORIDA,30900
2013,IDAHO,317000
2013,ILLINOIS,7300
2013,KANSAS,4400
2013,MAINE,55000
2013,MARYLAND,2200
2013,MASSACHUSETTS,3900
2013,MICHIGAN,44500
2013,MINNESOTA,46000
2013,MISSOURI,9500
2013,MONTANA,11300
2013,NEBRASKA,18500
2013,NEVADA, (D)
2013,NEW JERSEY,2400
2013,NEW MEXICO, (D)
2013,NEW YORK,17500
2013,NORTH CAROLINA,14500
2013,NORTH DAKOTA,82000
2013,OHIO,1900
2013,OREGON,42000
2013,OTHER STATES,10900
2013,PENNSYLVANIA,6700
2013,RHODE ISLAND,500
2013,TEXAS,18000
2013,VIRGINIA,5100
2013,WASHINGTON,160000
2013,WISCONSIN,62500
2012,ALASKA,680
2012,ARIZONA,4000
2012,CALIFORNIA,37800
2012,COLORADO,60500
2012,DELAWARE,1400
2012,FLORIDA,37100
2012,IDAHO,345000
2012,ILLINOIS,7600
2012,KANSAS,5500
2012,MAINE,59000
2012,MARYLAND,2300
2012,MASSACHUSETTS,3900
2012,MICHIGAN,47000
2012,MINNESOTA,49000
2012,MISSOURI,9100
2012,MONTANA,12000
2012,NEBRASKA,23500
2012,NEVADA,7100
2012,NEW JERSEY,2300
2012,NEW MEXICO,6300
2012,NEW YORK,18500
2012,NORTH CAROLINA,16500
2012,NORTH DAKOTA,88000
2012,OHIO,2100
2012,OREGON,42000
2012,OTHER STATES, (NA)
2012,PENNSYLVANIA,8900
2012,RHODE ISLAND,600
2012,TEXAS,20800
2012,VIRGINIA,5500
2012,WASHINGTON,165000
2012,WISCONSIN,66500
2011,ALASKA,750
2011,ARIZONA,3800
2011,CALIFORNIA,36900
2011,COLORADO,58500
2011,DELAWARE,1600
2011,FLORIDA,36400
2011,IDAHO,320000
2011,ILLINOIS,7000
2011,KANSAS,5500
2011,MAINE,58000
2011,MARYLAND,2200
2011,MASSACHUSETTS,3600
2011,MICHIGAN,45000
2011,MINNESOTA,49000
2011,MISSOURI,8300
2011,MONTANA,11700
2011,NEBRASKA,20000
2011,NEVADA, (D)
2011,NEW JERSEY,2000
2011,NEW MEXICO, (D)
2011,NEW YORK,17000
2011,NORTH CAROLINA,17000
2011,NORTH DAKOTA,84000
2011,OHIO,2000
2011,OREGON,40000
2011,OTHER STATES,13300
2011,PENNSYLVANIA,9200
2011,RHODE ISLAND,600
2011,TEXAS,19100
2011,VIRGINIA,6000
2011,WASHINGTON,160000
2011,WISCONSIN,63000
2010,ALASKA,760
2010,ARIZONA,3700
2010,CALIFORNIA,33600
2010,COLORADO,59500
2010,DELAWARE,1600
2010,FLORIDA,33200
2010,IDAHO,295000
2010,ILLINOIS,6500
2010,KANSAS,4500
2010,MAINE,55500
2010,MARYLAND,2100
2010,MASSACHUSETTS,3900
2010,MICHIGAN,44000
2010,MINNESOTA,45000
2010,MISSOURI,7300
2010,MONTANA,11500
2010,NEBRASKA,19000
2010,NEVADA, (D)
2010,NEW JERSEY,1900
2010,NEW MEXICO, (D)
2010,NEW YORK,16700
2010,NORTH CAROLINA,16000
2010,NORTH DAKOTA,84000
2010,OHIO,2200
2010,OREGON,35500
2010,OTHER STATES,13400
2010,PENNSYLVANIA,9500
2010,RHODE ISLAND,600
2010,TEXAS,17700
2010,VIRGINIA,5800
2010,WASHINGTON,135000
2010,WISCONSIN,62500
2009,ALASKA,780
2009,ARIZONA,4000
2009,CALIFORNIA,38200
2009,COLORADO,60000
2009,DELAWARE,1700
2009,FLORIDA,32600
2009,IDAHO,320000
2009,ILLINOIS,5400
2009,KANSAS,5000
2009,MAINE,56000
2009,MARYLAND,2400
2009,MASSACHUSETTS,3500
2009,MICHIGAN,45000
2009,MINNESOTA,47000
2009,MISSOURI,7300
2009,MONTANA,11200
2009,NEBRASKA,20000
2009,NEVADA,5100
2009,NEW JERSEY,2100
2009,NEW MEXICO,6500
2009,NEW YORK,17100
2009,NORTH CAROLINA,16000
2009,NORTH DAKOTA,83000
2009,OHIO,2300
2009,OREGON,37000
2009,PENNSYLVANIA,10000
2009,RHODE ISLAND,500
2009,TEXAS,17800
2009,VIRGINIA,6000
2009,WASHINGTON,145000
2009,WISCONSIN,63500
2008,ALABAMA,1300
2008,ALASKA,800
2008,ARIZONA,3500
2008,CALIFORNIA,38400
2008,COLORADO,61600
2008,DELAWARE,1700
2008,FLORIDA,28500
2008,IDAHO,305000
2008,ILLINOIS,5500
2008,KANSAS,5000
2008,MAINE,56000
2008,MARYLAND,2500
2008,MASSACHUSETTS,2800
2008,MICHIGAN,43000
2008,MINNESOTA,50000
2008,MISSOURI,7200
2008,MONTANA,10900
2008,NEBRASKA,19500
2008,NEVADA,5800
2008,NEW JERSEY,2000
2008,NEW MEXICO,5900
2008,NEW YORK,18000
2008,NORTH CAROLINA,14500
2008,NORTH DAKOTA,82000
2008,OHIO,2500
2008,OREGON,35300
2008,PENNSYLVANIA,10000
2008,RHODE ISLAND,500
2008,TEXAS,16400
2008,VIRGINIA,5800
2008,WASHINGTON,155000
2008,WISCONSIN,63500
2007,ALABAMA,1200
2007,ALASKA,890
2007,ARIZONA,4000
2007,CALIFORNIA,38200
2007,COLORADO,62200
2007,DELAWARE,2000
2007,FLORIDA,27800
2007,IDAHO,350000
2007,ILLINOIS,6300
2007,KANSAS,5000
2007,MAINE,57100
2007,MARYLAND,3000
2007,MASSACHUSETTS,2700
2007,MICHIGAN,42500
2007,MINNESOTA,52000
2007,MISSOURI,6800
2007,MONTANA,11300
2007,NEBRASKA,21000
2007,NEVADA,7300
2007,NEW JERSEY,2400
2007,NEW MEXICO,5500
2007,NEW YORK,19000
2007,NORTH CAROLINA,16000
2007,NORTH DAKOTA,97000
2007,OHIO,3200
2007,OREGON,36500
2007,PENNSYLVANIA,10500
2007,RHODE ISLAND,600
2007,TEXAS,20700
2007,VIRGINIA,5600
2007,WASHINGTON,160000
2007,WISCONSIN,64500
2006,ALABAMA,1700
2006,ALASKA,860
2006,ARIZONA,3900
2006,CALIFORNIA,39500
2006,COLORADO,63600
2006,DELAWARE,3000
2006,FLORIDA,28800
2006,IDAHO,335000
2006,ILLINOIS,6500
2006,KANSAS,6000
2006,MAINE,58500
2006,MARYLAND,4000
2006,MASSACHUSETTS,3100
2006,MICHIGAN,43500
2006,MINNESOTA,53000
2006,MISSOURI,7800
2006,MONTANA,10600
2006,NEBRASKA,19500
2006,NEVADA,6600
2006,NEW JERSEY,2500
2006,NEW MEXICO,5000
2006,NEW YORK,20600
2006,NORTH CAROLINA,17700
2006,NORTH DAKOTA,100000
2006,OHIO,3300
2006,OREGON,35000
2006,PENNSYLVANIA,11000
2006,RHODE ISLAND,500
2006,TEXAS,21200
2006,VIRGINIA,6000
2006,WASHINGTON,156000
2006,WISCONSIN,66000
2005,ALABAMA,1600
2005,ALASKA,830
2005,ARIZONA,4300
2005,CALIFORNIA,40200
2005,COLORADO,63200
2005,DELAWARE,3300
2005,FLORIDA,29600
2005,IDAHO,325000
2005,ILLINOIS,5700
2005,KANSAS,5100
2005,MAINE,57500
2005,MARYLAND,3500
2005,MASSACHUSETTS,2500
2005,MICHIGAN,43000
2005,MINNESOTA,48000
2005,MISSOURI,6500
2005,MONTANA,10700
2005,NEBRASKA,19500
2005,NEVADA,5500
2005,NEW JERSEY,2100
2005,NEW MEXICO,4700
2005,NEW YORK,20500
2005,NORTH CAROLINA,15500
2005,NORTH DAKOTA,92000
2005,OHIO,3700
2005,OREGON,37300
2005,PENNSYLVANIA,11500
2005,RHODE ISLAND,500
2005,TEXAS,18900
2005,VIRGINIA,5000
2005,WASHINGTON,154000
2005,WISCONSIN,68000
2004,ALABAMA,2300
2004,ALASKA,870
2004,ARIZONA,6200
2004,CALIFORNIA,43200
2004,COLORADO,70800
2004,DELAWARE,3300
2004,FLORIDA,30500
2004,IDAHO,355000
2004,ILLINOIS,5000
2004,INDIANA,3400
2004,KANSAS,3500
2004,MAINE,63500
2004,MARYLAND,4700
2004,MASSACHUSETTS,2600
2004,MICHIGAN,43000
2004,MINNESOTA,48000
2004,MISSOURI,6900
2004,MONTANA,10700
2004,NEBRASKA,22000
2004,NEVADA,6700
2004,NEW JERSEY,2300
2004,NEW MEXICO,5200
2004,NEW YORK,20000
2004,NORTH CAROLINA,17000
2004,NORTH DAKOTA,105000
2004,OHIO,3700
2004,OREGON,37000
2004,PENNSYLVANIA,12000
2004,RHODE ISLAND,500
2004,TEXAS,21400
2004,VIRGINIA,6000
2004,WASHINGTON,160000
2004,WISCONSIN,71000
2003,ALABAMA,3000
2003,ALASKA,930
2003,ARIZONA,7600
2003,CALIFORNIA,43300
2003,COLORADO,72800
2003,DELAWARE,3700
2003,FLORIDA,36100
2003,IDAHO,360000
2003,ILLINOIS,6500
2003,INDIANA,3800
2003,KANSAS,2800
2003,MAINE,66000
2003,MARYLAND,4700
2003,MASSACHUSETTS,3000
2003,MICHIGAN,46000
2003,MINNESOTA,61000
2003,MISSOURI,8000
2003,MONTANA,10700
2003,NEBRASKA,23500
2003,NEVADA,8300
2003,NEW JERSEY,2800
2003,NEW MEXICO,5900
2003,NEW YORK,22200
2003,NORTH CAROLINA,19000
2003,NORTH DAKOTA,117000
2003,OHIO,4500
2003,OREGON,42800
2003,PENNSYLVANIA,13000
2003,RHODE ISLAND,600
2003,SOUTH DAKOTA,1000
2003,TEXAS,22000
2003,UTAH,1000
2003,VIRGINIA,7000
2003,WASHINGTON,163000
2003,WISCONSIN,81000
2002,ALABAMA,2700
2002,ALASKA,910
2002,ARIZONA,7800
2002,CALIFORNIA,43600
2002,COLORADO,78000
2002,DELAWARE,4100
2002,FLORIDA,35800
2002,IDAHO,375000
2002,ILLINOIS,6500
2002,INDIANA,2900
2002,KANSAS,3000
2002,MAINE,64500
2002,MARYLAND,4500
2002,MASSACHUSETTS,3300
2002,MICHIGAN,46500
2002,MINNESOTA,62000
2002,MISSOURI,7000
2002,MONTANA,10500
2002,NEBRASKA,22000
2002,NEVADA,7600
2002,NEW JERSEY,2600
2002,NEW MEXICO,6500
2002,NEW YORK,22500
2002,NORTH CAROLINA,19500
2002,NORTH DAKOTA,118000
2002,OHIO,4500
2002,OREGON,50000
2002,PENNSYLVANIA,12500
2002,RHODE ISLAND,500
2002,SOUTH DAKOTA,1100
2002,TEXAS,21300
2002,UTAH,800
2002,VIRGINIA,6500
2002,WASHINGTON,162000
2002,WISCONSIN,84000
2001,ALABAMA,3600
2001,ARIZONA,8200
2001,CALIFORNIA,35900
2001,COLORADO,73900
2001,DELAWARE,4400
2001,FLORIDA,33400
2001,IDAHO,350000
2001,ILLINOIS,5500
2001,INDIANA,3100
2001,KANSAS,2500
2001,MAINE,62500
2001,MARYLAND,4800
2001,MASSACHUSETTS,3000
2001,MICHIGAN,46000
2001,MINNESOTA,59000
2001,MISSOURI,6200
2001,MONTANA,10500
2001,NEBRASKA,22500
2001,NEVADA,6500
2001,NEW JERSEY,2500
2001,NEW MEXICO,6400
2001,NEW YORK,23500
2001,NORTH CAROLINA,19500
2001,NORTH DAKOTA,118000
2001,OHIO,4400
2001,OREGON,45000
2001,PENNSYLVANIA,13000
2001,RHODE ISLAND,500
2001,SOUTH DAKOTA,2800
2001,TEXAS,18000
2001,UTAH,1300
2001,VIRGINIA,6500
2001,WASHINGTON,160000
2001,WISCONSIN,84000
2000,ALABAMA,4400
2000,ARIZONA,9000
2000,CALIFORNIA,44000
2000,COLORADO,84300
2000,DELAWARE,4800
2000,FLORIDA,30500
2000,IDAHO,415000
2000,ILLINOIS,5500
2000,INDIANA,3000
2000,KANSAS,3000
2000,MAINE,64000
2000,MARYLAND,4800
2000,MASSACHUSETTS,2900
2000,MICHIGAN,49000
2000,MINNESOTA,66000
2000,MISSOURI,6200
2000,MONTANA,11500
2000,NEBRASKA,26000
2000,NEVADA,7000
2000,NEW JERSEY,2500
2000,NEW MEXICO,10100
2000,NEW YORK,22000
2000,NORTH CAROLINA,17500
2000,NORTH DAKOTA,124000
2000,OHIO,4400
2000,OREGON,57000
2000,PENNSYLVANIA,13500
2000,RHODE ISLAND,500
2000,SOUTH DAKOTA,3500
2000,TEXAS,18200
2000,UTAH,1500
2000,VIRGINIA,6500
2000,WASHINGTON,175000
2000,WISCONSIN,86000
1999,ALABAMA,4500
1999,ARIZONA,10000
1999,CALIFORNIA,43200
1999,COLORADO,84900
1999,DELAWARE,4300
1999,FLORIDA,38400
1999,IDAHO,395000
1999,ILLINOIS,4900
1999,INDIANA,5200
1999,IOWA,1100
1999,MAINE,65000
1999,MARYLAND,4800
1999,MASSACHUSETTS,3000
1999,MICHIGAN,48000
1999,MINNESOTA,70000
1999,MISSOURI,8000
1999,MONTANA,11000
1999,NEBRASKA,26500
1999,NEVADA,6500
1999,NEW JERSEY,2600
1999,NEW MEXICO,10900
1999,NEW YORK,26000
1999,NORTH CAROLINA,18000
1999,NORTH DAKOTA,121000
1999,OHIO,4800
1999,OREGON,56000
1999,PENNSYLVANIA,14500
1999,RHODE ISLAND,600
1999,SOUTH DAKOTA,3500
1999,TEXAS,18900
1999,UTAH,2000
1999,VIRGINIA,6500
1999,WASHINGTON,170000
1999,WISCONSIN,86000
1999,WYOMING,500
1998,ALABAMA,5400
1998,ARIZONA,8100
1998,CALIFORNIA,42000
1998,COLORADO,83500
1998,DELAWARE,4600
1998,FLORIDA,44300
1998,IDAHO,410000
1998,ILLINOIS,5800
1998,INDIANA,5300
1998,IOWA,1400
1998,MAINE,65500
1998,MARYLAND,4600
1998,MASSACHUSETTS,2900
1998,MICHIGAN,47000
1998,MINNESOTA,82000
1998,MISSOURI,9600
1998,MONTANA,10600
1998,NEBRASKA,26500
1998,NEVADA,7000
1998,NEW JERSEY,2700
1998,NEW MEXICO,10500
1998,NEW YORK,27600
1998,NORTH CAROLINA,19100
1998,NORTH DAKOTA,126000
1998,OHIO,5100
1998,OREGON,59000
1998,PENNSYLVANIA,14500
1998,RHODE ISLAND,700
1998,SOUTH DAKOTA,5000
1998,TEXAS,19900
1998,UTAH,2700
1998,VIRGINIA,7000
1998,WASHINGTON,165000
1998,WISCONSIN,84500
1998,WYOMING,400
1997,ALABAMA,6400
1997,ARIZONA,6500
1997,CALIFORNIA,43700
1997,COLORADO,84800
1997,DELAWARE,4800
1997,FLORIDA,43500
1997,IDAHO,400000
1997,ILLINOIS,4800
1997,INDIANA,4900
1997,IOWA,1500
1997,MAINE,72000
1997,MARYLAND,3400
1997,MASSACHUSETTS,3000
1997,MICHIGAN,48000
1997,MINNESOTA,77000
1997,MISSOURI,6600
1997,MONTANA,10400
1997,NEBRASKA,24200
1997,NEVADA,7000
1997,NEW JERSEY,2600
1997,NEW MEXICO,10100
1997,NEW YORK,26500
1997,NORTH CAROLINA,18700
1997,NORTH DAKOTA,125000
1997,OHIO,5300
1997,OREGON,56500
1997,PENNSYLVANIA,14000
1997,RHODE ISLAND,800
1997,SOUTH DAKOTA,4600
1997,TEXAS,18400
1997,UTAH,3300
1997,VIRGINIA,7000
1997,WASHINGTON,152000
1997,WISCONSIN,85500
1997,WYOMING,700
1996,ALABAMA,7800
1996,ARIZONA,9000
1996,CALIFORNIA,43100
1996,COLORADO,88000
1996,DELAWARE,5300
1996,FLORIDA,46800
1996,IDAHO,415000
1996,ILLINOIS,6300
1996,INDIANA,5700
1996,IOWA,1700
1996,MAINE,78000
1996,MARYLAND,2700
1996,MASSACHUSETTS,2700
1996,MICHIGAN,52000
1996,MINNESOTA,85000
1996,MISSOURI,8000
1996,MONTANA,10400
1996,NEBRASKA,18300
1996,NEVADA,8000
1996,NEW JERSEY,2600
1996,NEW MEXICO,10600
1996,NEW YORK,27000
1996,NORTH CAROLINA,18700
1996,NORTH DAKOTA,134000
1996,OHIO,5200
1996,OREGON,62000
1996,PENNSYLVANIA,16500
1996,RHODE ISLAND,800
1996,SOUTH DAKOTA,5000
1996,TEXAS,17300
1996,UTAH,4300
1996,VIRGINIA,7000
1996,WASHINGTON,163000
1996,WISCONSIN,86000
1996,WYOMING,900
1995,ALABAMA,8300
1995,ARIZONA,6500
1995,CALIFORNIA,41500
1995,COLORADO,86300
1995,DELAWARE,6000
1995,FLORIDA,46800
1995,IDAHO,400000
1995,ILLINOIS,5600
1995,INDIANA,5000
1995,IOWA,1800
1995,MAINE,78000
1995,MARYLAND,1500
1995,MASSACHUSETTS,3300
1995,MICHIGAN,55000
1995,MINNESOTA,83000
1995,MISSOURI,7500
1995,MONTANA,9800
1995,NEBRASKA,16500
1995,NEVADA,7600
1995,NEW JERSEY,2700
1995,NEW MEXICO,10500
1995,NEW YORK,28000
1995,NORTH CAROLINA,18900
1995,NORTH DAKOTA,125000
1995,OHIO,5500
1995,OREGON,54000
1995,PENNSYLVANIA,18000
1995,RHODE ISLAND,900
1995,SOUTH DAKOTA,6000
1995,TEXAS,12500
1995,UTAH,5200
1995,VIRGINIA,8000
1995,WASHINGTON,147000
1995,WISCONSIN,87000
1995,WYOMING,1500
1994,ALABAMA,9000
1994,ARIZONA,6300
1994,CALIFORNIA,44700
1994,COLORADO,83500
1994,DELAWARE,4900
1994,FLORIDA,47600
1994,IDAHO,410000
1994,ILLINOIS,5100
1994,INDIANA,4400
1994,IOWA,1800
1994,MAINE,78000
1994,MARYLAND,2500
1994,MASSACHUSETTS,3100
1994,MICHIGAN,54000
1994,MINNESOTA,81700
1994,MISSOURI,7200
1994,MONTANA,10000
1994,NEBRASKA,15800
1994,NEVADA,8000
1994,NEW JERSEY,2900
1994,NEW MEXICO,10000
1994,NEW YORK,29100
1994,NORTH CAROLINA,18800
1994,NORTH DAKOTA,133000
1994,OHIO,5600
1994,OREGON,56400
1994,PENNSYLVANIA,19000
1994,RHODE ISLAND,1100
1994,SOUTH DAKOTA,6000
1994,TEXAS,13500
1994,UTAH,6100
1994,VIRGINIA,9000
1994,WASHINGTON,152000
1994,WISCONSIN,80000
1994,WYOMING,1700
1993,ALABAMA,10100
1993,ARIZONA,5500
1993,CALIFORNIA,41900
1993,COLORADO,80800
1993,DELAWARE,5000
1993,FLORIDA,44700
1993,IDAHO,390000
1993,ILLINOIS,5100
1993,INDIANA,4500
1993,IOWA,1700
1993,MAINE,80000
1993,MARYLAND,2500
1993,MASSACHUSETTS,3000
1993,MICHIGAN,53000
1993,MINNESOTA,77200
1993,MISSOURI,7700
1993,MONTANA,9100
1993,NEBRASKA,12700
1993,NEVADA,7700
1993,NEW JERSEY,3400
1993,NEW MEXICO,10700
1993,NEW YORK,28800
1993,NORTH CAROLINA,18900
1993,NORTH DAKOTA,143000
1993,OHIO,5800
1993,OREGON,50400
1993,PENNSYLVANIA,21000
1993,RHODE ISLAND,1100
1993,SOUTH DAKOTA,6000
1993,TEXAS,13500
1993,UTAH,6300
1993,VIRGINIA,10000
1993,WASHINGTON,150000
1993,WISCONSIN,77000
1993,WYOMING,1800
1992,ALABAMA,10800
1992,ARIZONA,6400
1992,CALIFORNIA,43000
1992,COLORADO,73400
1992,DELAWARE,6000
1992,FLORIDA,41200
1992,IDAHO,380000
1992,ILLINOIS,4500
1992,INDIANA,4600
1992,IOWA,1600
1992,MAINE,82000
1992,MARYLAND,1600
1992,MASSACHUSETTS,3000
1992,MICHIGAN,49500
1992,MINNESOTA,78200
1992,MISSOURI,7700
1992,MONTANA,8600
1992,NEBRASKA,10700
1992,NEVADA,7500
1992,NEW JERSEY,3600
1992,NEW MEXICO,8500
1992,NEW YORK,28200
1992,NORTH CAROLINA,19100
1992,NORTH DAKOTA,146000
1992,OHIO,7000
1992,OREGON,46000
1992,PENNSYLVANIA,20000
1992,RHODE ISLAND,1300
1992,SOUTH DAKOTA,6500
1992,TEXAS,13000
1992,UTAH,6100
1992,VIRGINIA,11000
1992,WASHINGTON,132000
1992,WISCONSIN,69000
1992,WYOMING,1700
1991,ALABAMA,11000
1991,ARIZONA,6000
1991,CALIFORNIA,46200
1991,COLORADO,78000
1991,DELAWARE,7700
1991,FLORIDA,43700
1991,IDAHO,395000
1991,ILLINOIS,4500
1991,INDIANA,4500
1991,IOWA,1500
1991,MAINE,81000
1991,MARYLAND,1700
1991,MASSACHUSETTS,3000
1991,MICHIGAN,47000
1991,MINNESOTA,84400
1991,MISSOURI,6700
1991,MONTANA,9400
1991,NEBRASKA,11600
1991,NEVADA,7600
1991,NEW JERSEY,4100
1991,NEW MEXICO,10500
1991,NEW YORK,29600
1991,NORTH CAROLINA,18800
1991,NORTH DAKOTA,158000
1991,OHIO,8000
1991,OREGON,51000
1991,PENNSYLVANIA,21000
1991,RHODE ISLAND,1300
1991,SOUTH DAKOTA,7500
1991,TEXAS,16000
1991,UTAH,6100
1991,VIRGINIA,11000
1991,WASHINGTON,144000
1991,WISCONSIN,68000
1991,WYOMING,2100
1990,ALABAMA,12800
1990,ARIZONA,6900
1990,CALIFORNIA,50300
1990,COLORADO,72800
1990,DELAWARE,8200
1990,FLORIDA,45500
1990,IDAHO,405000
1990,ILLINOIS,3400
1990,INDIANA,4300
1990,IOWA,1700
1990,MAINE,81000
1990,MARYLAND,1800
1990,MASSACHUSETTS,2600
1990,MICHIGAN,46000
1990,MINNESOTA,75200
1990,MISSOURI,6800
1990,MONTANA,9000
1990,NEBRASKA,12200
1990,NEVADA,7000
1990,NEW JERSEY,4500
1990,NEW MEXICO,12000
1990,NEW YORK,29000
1990,NORTH CAROLINA,18000
1990,NORTH DAKOTA,150000
1990,OHIO,8000
1990,OREGON,54000
1990,PENNSYLVANIA,23000
1990,RHODE ISLAND,1100
1990,SOUTH DAKOTA,9000
1990,TEXAS,19000
1990,UTAH,6300
1990,VIRGINIA,11000
1990,WASHINGTON,133000
1990,WISCONSIN,67000
1990,WYOMING,2300
